?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/J01GB03>	26
<http://purl.bioontology.org/ontology/ATC/L02BB05>	2
<http://purl.bioontology.org/ontology/ATC/A10BJ02>	16
<http://purl.bioontology.org/ontology/ATC/L02BB02>	1
<http://purl.bioontology.org/ontology/ATC/N01BB51>	1
<http://purl.bioontology.org/ontology/ATC/J02AC02>	21
<http://purl.bioontology.org/ontology/ATC/L04AA06>	2
<http://purl.bioontology.org/ontology/ATC/N05BA11>	2
<http://purl.bioontology.org/ontology/ATC/J01FA10>	33
<http://purl.bioontology.org/ontology/ATC/J01AA07>	4
<http://purl.bioontology.org/ontology/ATC/N01BB58>	1
<http://purl.bioontology.org/ontology/ATC/C09CA03>	5
<http://purl.bioontology.org/ontology/ATC/J01EA01>	4
<http://purl.bioontology.org/ontology/ATC/C03AA03>	13
<http://purl.bioontology.org/ontology/ATC/R03AL07>	1
<http://purl.bioontology.org/ontology/ATC/L01BB03>	4
<http://purl.bioontology.org/ontology/ATC/C09BB10>	1
<http://purl.bioontology.org/ontology/ATC/G03HA01>	12
<http://purl.bioontology.org/ontology/ATC/A10BH01>	5
<http://purl.bioontology.org/ontology/ATC/C09CA04>	5
<http://purl.bioontology.org/ontology/ATC/J02AA01>	2
<http://purl.bioontology.org/ontology/ATC/N06AX26>	1
<http://purl.bioontology.org/ontology/ATC/N05CD09>	1
<http://purl.bioontology.org/ontology/ATC/N05AG02>	1
<http://purl.bioontology.org/ontology/ATC/A04AD12>	2
<http://purl.bioontology.org/ontology/ATC/N06AX21>	4
<http://purl.bioontology.org/ontology/ATC/A02BX02>	2
<http://purl.bioontology.org/ontology/ATC/P01AB01>	13
<http://purl.bioontology.org/ontology/ATC/N05AX16>	1
<http://purl.bioontology.org/ontology/ATC/N05CD07>	1
<http://purl.bioontology.org/ontology/ATC/R07AX32>	1
<http://purl.bioontology.org/ontology/ATC/V03AX03>	1
<http://purl.bioontology.org/ontology/ATC/L01XA01>	5
<http://purl.bioontology.org/ontology/ATC/V03AX04>	3
<http://purl.bioontology.org/ontology/ATC/C01AA05>	5
<http://purl.bioontology.org/ontology/ATC/J05AB14>	2
